,work_year,experience_level,experience_level_code,employment_type,employment_type_code,job_title,job category code,salary,salary_currency,salary_in_usd,salary_in_usd_code,employee_residence,remote_ratio,company_location,company_size,company_size_code
1687,2023,SE,3,FT,2,Data Architect,6,113000,USD,113000,3,US,0,US,M,2
279,2023,SE,3,FT,2,Data Architect,6,113000,USD,113000,3,US,0,US,M,2
63,2023,SE,3,FT,2,Data Architect,6,113000,USD,113000,3,US,0,US,M,2
758,2023,SE,3,FT,2,Analytics Engineer,3,113000,USD,113000,3,US,100,US,M,2
1053,2023,SE,3,FT,2,Data Engineer,2,113750,USD,113750,3,US,0,US,M,2
1184,2023,SE,3,FT,2,Data Architect,6,113900,USD,113900,3,US,100,US,M,2
43,2023,SE,3,FT,2,Data Architect,6,113900,USD,113900,3,US,100,US,M,2
588,2023,SE,3,FT,2,Data Architect,6,114000,USD,114000,3,US,100,US,M,2
313,2023,SE,3,FT,2,Data Engineer,2,114000,USD,114000,3,US,100,US,M,2
684,2023,SE,3,FT,2,Data Engineer,2,114500,USD,114500,3,US,0,US,M,2
982,2023,SE,3,FT,2,Data Architect,6,115000,USD,115000,3,US,100,US,M,2
248,2023,SE,3,FT,2,Data Architect,6,115000,USD,115000,3,US,100,US,M,2
1409,2023,SE,3,FT,2,Data Architect,6,115000,USD,115000,3,US,100,US,M,2
1451,2023,SE,3,FT,2,Data Architect,6,115000,USD,115000,3,US,100,US,M,2
1580,2023,SE,3,FT,2,Data Architect,6,115000,USD,115000,3,US,100,US,M,2
1588,2023,SE,3,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
1777,2023,SE,3,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
1785,2023,SE,3,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
271,2023,EX,4,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
498,2023,SE,3,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
642,2023,SE,3,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
731,2023,SE,3,FT,2,Data Engineer,2,115000,USD,115000,3,US,0,US,M,2
1196,2023,SE,3,FT,2,Data Scientist,5,115000,USD,115000,3,US,0,US,M,2
1646,2023,SE,3,FT,2,Data Scientist,5,115000,USD,115000,3,US,100,US,M,2
452,2023,MI,2,FT,2,Data Engineer,2,115092,USD,115092,3,US,0,US,M,2
199,2023,EN,1,FT,2,Data Engineer,2,115100,USD,115100,3,US,0,US,M,2
201,2023,MI,2,FT,2,Data Scientist,5,115360,USD,115360,3,US,100,US,M,2
1266,2023,SE,3,FT,2,Data Scientist,5,115440,USD,115440,3,US,0,US,M,2
1268,2023,EX,4,FT,2,Data Engineer,2,115500,USD,115500,3,US,0,US,M,2
1664,2023,SE,3,FT,2,Data Analyst,1,115934,USD,115934,3,US,100,US,M,2
1674,2023,SE,3,FT,2,Data Analyst,1,115934,USD,115934,3,US,100,US,M,2
70,2023,MI,2,FT,2,Data Analyst,1,116000,USD,116000,3,US,0,US,M,2
160,2023,MI,2,FT,2,Data Engineer,2,116000,USD,116000,3,US,0,US,M,2
225,2023,SE,3,FT,2,Data Engineer,2,116000,USD,116000,3,US,0,US,M,2
238,2023,SE,3,FT,2,Analytics Engineer,3,116450,USD,116450,3,US,0,US,M,2
331,2023,EX,4,FT,2,Data Engineer,2,116704,USD,116704,3,US,100,US,M,2
512,2023,EX,4,FT,2,Data Engineer,2,116704,USD,116704,3,US,100,US,M,2
1367,2023,MI,2,FT,2,Data Scientist,5,116990,USD,116990,3,US,100,US,M,2
316,2023,SE,3,FT,2,Data Architect,6,117000,USD,117000,3,US,100,US,M,2
614,2023,SE,3,FT,2,Analytics Engineer,3,117100,USD,117100,3,US,100,US,M,2
1713,2023,SE,3,FT,2,Data Engineer,2,119000,USD,119000,3,US,0,US,M,2
538,2023,SE,3,FT,2,Data Analyst,1,119500,USD,119500,3,US,100,US,M,2
693,2023,SE,3,FT,2,Data Analyst,1,120000,USD,120000,3,US,100,US,M,2
1336,2023,SE,3,FT,2,Data Analyst,1,120000,USD,120000,3,US,0,US,M,2
1787,2023,SE,3,FT,2,Data Analyst,1,120000,USD,120000,3,US,0,US,M,2
658,2023,SE,3,FT,2,Data Analyst,1,120000,USD,120000,3,US,100,US,M,2
665,2023,SE,3,FT,2,Data Analyst,1,120000,USD,120000,3,US,100,US,M,2
1241,2023,MI,2,FT,2,Data Analyst,1,120000,USD,120000,3,US,100,US,M,2
1655,2023,MI,2,FT,2,Data Analyst,1,120000,USD,120000,3,US,0,US,M,2
913,2023,SE,3,FT,2,Data Architect,6,120000,USD,120000,3,US,0,US,M,2
925,2023,SE,3,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
108,2023,SE,3,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
746,2023,SE,3,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
1303,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
896,2023,SE,3,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
800,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
269,2023,SE,3,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
1459,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,100,US,M,2
827,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
215,2023,SE,3,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
221,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
333,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,100,US,M,2
376,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
894,2023,MI,2,FT,2,Data Engineer,2,120000,USD,120000,3,US,0,US,M,2
1736,2023,SE,3,FT,2,Analytics Engineer,3,120000,USD,120000,3,US,100,US,M,2
1754,2023,SE,3,FT,2,Analytics Engineer,3,120000,USD,120000,3,US,0,US,M,2
670,2023,SE,3,FT,2,Machine Learning Engineer,4,120000,USD,120000,3,US,100,US,M,2
516,2023,SE,3,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
1728,2023,EN,1,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
1750,2023,SE,3,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
434,2023,SE,3,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
1061,2023,MI,2,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
1204,2023,SE,3,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
116,2023,MI,2,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
582,2023,SE,3,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
668,2023,SE,3,FT,2,Data Scientist,5,120000,USD,120000,3,US,0,US,M,2
967,2023,SE,3,FT,2,Data Analyst,1,120250,USD,120250,3,US,100,US,M,2
1055,2023,SE,3,FT,2,Data Analyst,1,120250,USD,120250,3,US,100,US,M,2
1252,2023,MI,2,FT,2,Data Analyst,1,121500,USD,121500,3,US,0,US,M,2
1499,2023,SE,3,FT,2,Data Engineer,2,121500,USD,121500,3,US,100,US,M,2
1766,2023,SE,3,FT,2,Data Analyst,1,121600,USD,121600,3,US,100,US,M,2
1783,2023,SE,3,FT,2,Data Analyst,1,121700,USD,121700,3,US,0,US,M,2
1789,2023,SE,3,FT,2,Data Analyst,1,121700,USD,121700,3,US,0,US,M,2
1672,2023,SE,3,FT,2,Data Analyst,1,121700,USD,121700,3,US,0,US,M,2
518,2023,SE,3,FT,2,Data Analyst,1,121904,USD,121904,3,US,0,US,M,2
712,2023,SE,3,FT,2,Data Analyst,1,122000,USD,122000,3,US,100,US,M,2
450,2023,SE,3,FT,2,Data Analyst,1,122000,USD,122000,3,US,0,US,M,2
910,2023,SE,3,FT,2,Data Engineer,2,122000,USD,122000,3,US,0,US,M,2
654,2023,SE,3,FT,2,Data Scientist,5,122000,USD,122000,3,US,0,US,M,2
853,2023,SE,3,FT,2,Data Scientist,5,122000,USD,122000,3,US,0,US,M,2
883,2023,SE,3,FT,2,Machine Learning Engineer,4,122700,USD,122700,3,US,0,US,M,2
994,2023,SE,3,FT,2,Machine Learning Engineer,4,122700,USD,122700,3,US,0,US,M,2
1010,2023,SE,3,FT,2,Machine Learning Engineer,4,122700,USD,122700,3,US,0,US,M,2
977,2023,SE,3,FT,2,Data Scientist,5,122700,USD,122700,3,US,0,US,M,2
1423,2023,SE,3,FT,2,Data Scientist,5,122900,USD,122900,3,US,0,US,L,3
1601,2023,SE,3,FT,2,Data Engineer,2,123600,USD,123600,3,US,100,US,M,2
891,2023,SE,3,FT,2,Data Engineer,2,123700,USD,123700,3,US,0,US,L,3
903,2023,SE,3,FT,2,Data Engineer,2,123700,USD,123700,3,US,0,US,L,3
1589,2023,SE,3,FT,2,Data Scientist,5,123900,USD,123900,3,US,100,US,M,2
840,2023,MI,2,FT,2,Data Analyst,1,124000,USD,124000,3,US,0,US,M,2
848,2023,EN,1,FT,2,Data Scientist,5,124234,USD,124234,3,US,0,US,M,2
1006,2023,SE,3,FT,2,Data Engineer,2,124500,USD,124500,3,US,0,US,M,2
1621,2023,SE,3,FT,2,Data Engineer,2,124740,USD,124740,3,US,0,US,M,2
242,2023,SE,3,FT,2,Data Engineer,2,124740,USD,124740,3,US,0,US,M,2
55,2023,SE,3,FT,2,Data Analyst,1,125000,USD,125000,3,US,100,US,M,2
267,2023,SE,3,FT,2,Data Analyst,1,125000,USD,125000,3,US,0,US,M,2
1477,2023,SE,3,FT,2,Data Analyst,1,125000,USD,125000,3,US,0,US,M,2
844,2023,SE,3,FT,2,Data Analyst,1,125000,USD,125000,3,US,100,US,M,2
1240,2023,MI,2,FT,2,Data Analyst,1,125000,USD,125000,3,US,0,US,M,2
496,2023,SE,3,FT,2,Data Analyst,1,125000,USD,125000,3,US,0,US,M,2
1480,2023,SE,3,FT,2,Data Architect,6,125000,USD,125000,3,US,100,US,M,2
504,2023,MI,2,FT,2,Data Engineer,2,125000,USD,125000,3,US,0,US,M,2
1038,2023,EN,1,FT,2,Data Engineer,2,125000,USD,125000,3,US,0,US,M,2
1253,2023,EN,1,FT,2,Data Engineer,2,125000,USD,125000,3,US,0,US,M,2
312,2023,MI,2,FT,2,Data Engineer,2,125000,USD,125000,3,US,0,US,M,2
862,2023,MI,2,FT,2,Data Engineer,2,125000,USD,125000,3,US,0,US,M,2
1003,2023,SE,3,FT,2,Machine Learning Engineer,4,125000,USD,125000,3,US,0,US,M,2
1065,2023,SE,3,FT,2,Machine Learning Engineer,4,125000,USD,125000,3,US,0,US,M,2
1275,2023,SE,3,FT,2,Data Analyst,1,125600,USD,125600,3,US,0,US,M,2
1521,2023,SE,3,FT,2,Data Analyst,1,125600,USD,125600,3,US,100,US,M,2
1732,2023,SE,3,FT,2,Data Engineer,2,126000,USD,126000,3,US,0,US,M,2
522,2023,SE,3,FT,2,Data Engineer,2,126000,USD,126000,3,US,0,US,M,2
397,2023,SE,3,FT,2,Data Engineer,2,126000,USD,126000,3,US,0,US,M,2
615,2023,SE,3,FT,2,Data Engineer,2,126000,USD,126000,3,US,0,US,M,2
816,2023,SE,3,FT,2,Data Engineer,2,126000,USD,126000,3,US,0,US,M,2
887,2023,SE,3,FT,2,Machine Learning Engineer,4,126000,USD,126000,3,US,0,US,M,2
1173,2023,SE,3,FT,2,Machine Learning Engineer,4,126000,USD,126000,3,US,0,US,M,2
431,2023,SE,3,FT,2,Machine Learning Engineer,4,126000,USD,126000,3,US,0,US,M,2
1381,2023,SE,3,FT,2,Machine Learning Engineer,4,126000,USD,126000,3,US,0,US,M,2
406,2023,SE,3,FT,2,Data Scientist,5,126000,USD,126000,3,US,0,US,M,2
420,2023,MI,2,FT,2,Machine Learning Engineer,4,126277,USD,126277,3,US,0,US,M,2
901,2023,SE,3,FT,2,Data Scientist,5,126500,USD,126500,3,US,0,US,M,2
819,2023,SE,3,FT,2,Data Analyst,1,127000,USD,127000,3,US,100,US,M,2
970,2023,SE,3,FT,2,Data Analyst,1,127075,USD,127075,3,US,100,US,M,2
510,2023,SE,3,FT,2,Data Analyst,1,128000,USD,128000,3,US,0,US,M,2
1491,2023,MI,2,FT,2,Data Analyst,1,128000,USD,128000,3,US,0,US,M,2
618,2023,SE,3,FT,2,Data Engineer,2,128000,USD,128000,3,US,0,US,M,2
778,2023,SE,3,FT,2,Data Engineer,2,128000,USD,128000,3,US,0,US,M,2
953,2023,SE,3,FT,2,Data Engineer,2,128000,USD,128000,3,US,0,US,M,2
1080,2023,SE,3,FT,2,Data Engineer,2,128000,USD,128000,3,US,100,US,M,2
1361,2023,SE,3,FT,2,Machine Learning Engineer,4,128280,USD,128280,3,US,0,US,M,2
788,2023,SE,3,FT,2,Data Analyst,1,128500,USD,128500,3,US,0,US,M,2
943,2023,MI,2,FT,2,Data Scientist,5,128750,USD,128750,3,US,0,US,M,2
1082,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
1363,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
640,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
1694,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
1136,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
1141,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
820,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
283,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
299,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
561,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
222,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
490,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
1323,2023,SE,3,FT,2,Data Engineer,2,129000,USD,129000,3,US,0,US,M,2
1803,2023,SE,3,FT,2,Data Engineer,2,129300,USD,129300,3,US,0,US,M,2
1598,2023,SE,3,FT,2,Data Engineer,2,129300,USD,129300,3,US,0,US,M,2
1017,2023,SE,3,FT,2,Data Engineer,2,129300,USD,129300,3,US,0,US,M,2
544,2023,SE,3,FT,2,Data Scientist,5,129300,USD,129300,3,US,0,US,M,2
789,2023,SE,3,FT,2,Data Scientist,5,129300,USD,129300,3,US,0,US,M,2
128,2023,SE,3,FT,2,Data Scientist,5,129300,USD,129300,3,US,0,US,M,2
456,2023,SE,3,FT,2,Data Scientist,5,129300,USD,129300,3,US,0,US,M,2
600,2023,SE,3,FT,2,Data Scientist,5,129300,USD,129300,3,US,0,US,M,2
632,2023,SE,3,FT,2,Data Scientist,5,129300,USD,129300,3,US,0,US,M,2
774,2023,SE,3,FT,2,Data Analyst,1,130000,USD,130000,3,US,100,US,M,2
792,2023,MI,2,FT,2,Data Analyst,1,130000,USD,130000,3,US,0,US,M,2
879,2023,SE,3,FT,2,Data Analyst,1,130000,USD,130000,3,US,100,US,M,2
893,2023,MI,2,FT,2,Data Analyst,1,130000,USD,130000,3,US,0,US,M,2
1228,2023,SE,3,FT,2,Data Analyst,1,130000,USD,130000,3,US,100,US,M,2
1379,2023,SE,3,FT,2,Data Analyst,1,130000,USD,130000,3,US,100,US,M,2
1383,2023,MI,2,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
1532,2023,MI,2,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
1610,2023,MI,2,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
86,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
126,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,100,US,M,2
992,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,100,US,M,2
1509,2023,MI,2,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
355,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,100,US,M,2
534,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,100,US,M,2
899,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,100,US,M,2
1012,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
1178,2023,MI,2,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
1693,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,100,US,M,2
11,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
674,2023,MI,2,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
713,2023,SE,3,FT,2,Data Engineer,2,130000,USD,130000,3,US,0,US,M,2
976,2023,SE,3,FT,2,Analytics Engineer,3,130000,USD,130000,3,US,0,US,M,2
1390,2023,SE,3,FT,2,Analytics Engineer,3,130000,USD,130000,3,US,100,US,M,2
1452,2023,SE,3,FT,2,Machine Learning Engineer,4,130000,USD,130000,3,US,0,US,M,2
1734,2023,SE,3,FT,2,Machine Learning Engineer,4,130000,USD,130000,3,US,0,US,M,2
681,2023,MI,2,FT,2,Machine Learning Engineer,4,130000,USD,130000,3,US,0,US,M,2
782,2023,SE,3,FT,2,Data Scientist,5,130000,USD,130000,3,US,100,US,M,2
1068,2023,SE,3,FT,2,Data Scientist,5,130000,USD,130000,3,US,100,US,M,2
36,2023,MI,2,FT,2,Data Scientist,5,130000,USD,130000,3,US,0,US,M,2
168,2023,EN,1,FT,2,Data Scientist,5,130001,USD,130001,3,US,100,US,M,2
206,2023,SE,3,FT,2,Data Scientist,5,132000,USD,132000,3,US,100,US,M,2
362,2023,SE,3,FT,2,Data Engineer,2,132300,USD,132300,3,US,0,US,M,2
460,2023,SE,3,FT,2,Data Engineer,2,132300,USD,132300,3,US,0,US,M,2
594,2023,SE,3,FT,2,Data Engineer,2,132300,USD,132300,3,US,0,US,M,2
686,2023,SE,3,FT,2,Data Scientist,5,133200,USD,133200,3,US,100,US,M,2
756,2023,SE,3,FT,2,Data Engineer,2,133300,USD,133300,3,US,0,US,M,2
927,2023,SE,3,FT,2,Data Engineer,2,133300,USD,133300,3,US,0,US,M,2
961,2023,SE,3,FT,2,Data Engineer,2,133300,USD,133300,3,US,0,US,M,2
1220,2023,SE,3,FT,2,Data Engineer,2,133300,USD,133300,3,US,0,US,M,2
1371,2023,SE,3,FT,2,Data Engineer,2,133300,USD,133300,3,US,0,US,M,2
1511,2023,SE,3,FT,2,Data Engineer,2,133800,USD,133800,3,US,0,US,M,2
1529,2023,SE,3,FT,2,Data Engineer,2,133800,USD,133800,3,US,100,US,M,2
1542,2023,SE,3,FT,2,Data Engineer,2,133832,USD,133832,3,US,0,US,M,2
1594,2023,SE,3,FT,2,Data Scientist,5,134000,USD,134000,3,US,0,US,M,2
28,2023,SE,3,FT,2,Data Scientist,5,134000,USD,134000,3,US,0,US,M,2
428,2023,SE,3,FT,2,Data Scientist,5,134024,USD,134024,3,US,0,US,M,2
539,2023,SE,3,FT,2,Data Scientist,5,134236,USD,134236,3,US,0,US,M,2
1575,2023,SE,3,FT,2,Machine Learning Engineer,4,134500,USD,134500,3,US,0,US,L,3
1615,2023,SE,3,FT,2,Data Analyst,1,135000,USD,135000,3,US,0,US,M,2
1817,2023,SE,3,FT,2,Data Analyst,1,135000,USD,135000,3,US,0,US,M,2
371,2023,SE,3,FT,2,Data Analyst,1,135000,USD,135000,3,US,0,US,M,2
278,2023,MI,2,FT,2,Data Analyst,1,135000,USD,135000,3,US,0,US,M,2
334,2023,SE,3,FT,2,Data Engineer,2,135000,USD,135000,3,US,100,US,M,2
14,2023,EN,1,FT,2,Data Engineer,2,135000,USD,135000,3,US,0,US,M,2
349,2023,EN,1,FT,2,Data Engineer,2,135000,USD,135000,3,US,0,US,M,2
542,2023,SE,3,FT,2,Data Engineer,2,135000,USD,135000,3,US,100,US,M,2
104,2023,EN,1,FT,2,Data Engineer,2,135000,USD,135000,3,US,0,US,M,2
500,2023,EN,1,FT,2,Data Engineer,2,135000,USD,135000,3,US,0,US,M,2
638,2023,MI,2,FT,2,Machine Learning Engineer,4,135000,USD,135000,3,US,50,US,L,3
112,2023,SE,3,FT,2,Machine Learning Engineer,4,135000,USD,135000,3,US,0,US,M,2
347,2023,SE,3,FT,2,ML Engineer,4,135000,USD,135000,3,US,0,US,M,2
1226,2023,SE,3,FT,2,Data Scientist,5,135000,USD,135000,3,US,0,US,M,2
1357,2023,SE,3,FT,2,Data Scientist,5,135000,USD,135000,3,US,0,US,M,2
1377,2023,SE,3,FT,2,Data Scientist,5,135000,USD,135000,3,US,100,US,M,2
1536,2023,SE,3,FT,2,Data Scientist,5,135000,USD,135000,3,US,100,US,M,2
1731,2023,SE,3,FT,2,Data Scientist,5,136000,USD,136000,3,US,0,US,M,2
110,2023,SE,3,FT,2,Data Scientist,5,136000,USD,136000,3,US,100,US,M,2
1665,2023,SE,3,FT,2,Data Scientist,5,136000,USD,136000,3,US,100,US,M,2
1299,2023,SE,3,FT,2,Data Scientist,5,136000,USD,136000,3,US,100,US,M,2
495,2023,SE,3,FT,2,Data Analyst,1,137500,USD,137500,3,US,0,US,M,2
1418,2023,SE,3,FT,2,Data Engineer,2,137500,USD,137500,3,US,100,US,M,2
1551,2023,SE,3,FT,2,Data Engineer,2,137500,USD,137500,3,US,0,US,M,2
608,2023,SE,3,FT,2,Data Analyst,1,138000,USD,138000,3,US,100,US,M,2
246,2023,SE,3,FT,2,Data Engineer,2,138750,USD,138750,3,US,100,US,M,2
414,2023,SE,3,FT,2,Analytics Engineer,3,138750,USD,138750,3,US,100,US,M,2
1815,2023,SE,3,FT,2,Data Scientist,5,138784,USD,138784,3,US,100,US,M,2
252,2023,SE,3,FT,2,Data Analyst,1,138900,USD,138900,3,US,0,US,M,2
403,2023,SE,3,FT,2,Data Analyst,1,139000,USD,139000,3,US,0,US,M,2
569,2023,SE,3,FT,2,Data Engineer,2,139000,USD,139000,3,US,100,US,M,2
809,2023,SE,3,FT,2,Data Scientist,5,139000,USD,139000,3,US,100,US,M,2
1607,2023,SE,3,FT,2,Data Engineer,2,139500,USD,139500,3,US,0,US,M,2
1078,2023,SE,3,FT,2,Data Engineer,2,139500,USD,139500,3,US,0,US,M,2
1416,2023,SE,3,FT,2,Data Engineer,2,139500,USD,139500,3,US,0,US,M,2
1568,2023,SE,3,FT,2,Data Engineer,2,139500,USD,139500,3,US,0,US,M,2
1680,2023,SE,3,FT,2,Data Engineer,2,139500,USD,139500,3,US,0,US,M,2
1745,2023,SE,3,FT,2,Machine Learning Engineer,4,139500,USD,139500,3,US,0,US,M,2
1820,2023,SE,3,FT,2,Machine Learning Engineer,4,139500,USD,139500,3,US,0,US,M,2
527,2023,SE,3,FT,2,Machine Learning Engineer,4,139500,USD,139500,3,US,0,US,M,2
1660,2023,SE,3,FT,2,Machine Learning Engineer,4,139500,USD,139500,3,US,0,US,M,2
1526,2023,SE,3,FT,2,Data Scientist,5,139500,USD,139500,3,US,0,US,M,2
1721,2023,SE,3,FT,2,Data Analyst,1,140000,USD,140000,3,US,0,US,M,2
433,2023,SE,3,FT,2,Data Analyst,1,140000,USD,140000,3,US,0,US,M,2
289,2023,SE,3,FT,2,Data Analyst,1,140000,USD,140000,3,US,100,US,M,2
464,2023,SE,3,FT,2,Data Analyst,1,140000,USD,140000,3,US,100,US,M,2
1293,2023,SE,3,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
1712,2023,SE,3,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
1350,2023,SE,3,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
915,2023,MI,2,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
1001,2023,MI,2,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
1515,2023,SE,3,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
1612,2023,SE,3,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
6,2023,MI,2,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
174,2023,MI,2,FT,2,Data Engineer,2,140000,USD,140000,3,US,100,US,M,2
273,2023,SE,3,FT,2,Data Engineer,2,140000,USD,140000,3,US,0,US,M,2
277,2023,SE,3,FT,2,Analytics Engineer,3,140000,USD,140000,3,US,0,US,M,2
295,2023,SE,3,FT,2,Machine Learning Engineer,4,140000,USD,140000,3,US,100,US,M,2
301,2023,SE,3,FT,2,Machine Learning Engineer,4,140000,USD,140000,3,US,100,US,M,2
440,2023,MI,2,FT,2,Machine Learning Engineer,4,140000,USD,140000,3,US,100,US,M,2
442,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,0,US,M,2
702,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,100,US,M,2
760,2023,MI,2,FT,2,Data Scientist,5,140000,USD,140000,3,US,100,US,M,2
1701,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,0,US,M,2
1114,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,0,US,M,2
1394,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,100,US,M,2
802,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,0,US,M,2
1473,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,0,US,M,2
1741,2023,SE,3,FT,2,Data Scientist,5,140000,USD,140000,3,US,0,US,M,2
1270,2023,SE,3,FT,2,Data Scientist,5,140800,USD,140800,3,US,0,US,M,2
139,2023,SE,3,FT,2,Data Analyst,1,141290,USD,141290,3,US,0,US,M,2
144,2023,SE,3,FT,2,Data Engineer,2,141600,USD,141600,3,US,100,US,M,2
1369,2023,SE,3,FT,2,Data Engineer,2,141600,USD,141600,3,US,0,US,M,2
320,2023,SE,3,FT,2,Data Analyst,1,142000,USD,142000,3,US,100,US,M,2
79,2023,SE,3,FT,2,Data Analyst,1,142000,USD,142000,3,US,100,US,M,2
57,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
1449,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
623,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
741,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
872,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
1026,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
1171,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
761,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
870,2023,SE,3,FT,2,Machine Learning Engineer,4,142200,USD,142200,3,US,0,US,M,2
1028,2023,MI,2,FT,2,Data Analyst,1,143000,USD,143000,3,US,0,US,M,2
1179,2023,SE,3,FT,2,Analytics Engineer,3,143200,USD,143200,3,US,0,US,M,2
1158,2023,SE,3,FT,2,Analytics Engineer,3,143860,USD,143860,3,US,0,US,M,2
130,2023,SE,3,FT,2,Analytics Engineer,3,143860,USD,143860,3,US,0,US,M,2
